folder,filename,height,width,channels
../data/raw-img/scoiatollo/splitted_images,file-8-left-lower-corner,100,150,3
../data/raw-img/scoiatollo/splitted_images,file-8-right-upper-corner,100,150,3
../data/raw-img/scoiatollo/splitted_images,file-8-right-lower-corner,100,150,3
../data/raw-img/scoiatollo/splitted_images,file-9-left-upper-corner,104,150,3
../data/raw-img/scoiatollo/splitted_images,file-9-left-lower-corner,104,150,3
../data/raw-img/scoiatollo/splitted_images,file-9-right-upper-corner,104,150,3
../data/raw-img/scoiatollo/splitted_images,file-9-right-lower-corner,104,150,3
../data/raw-img/cavallo/splitted_images,file-0-left-upper-corner,100,150,3
../data/raw-img/cavallo/splitted_images,file-0-left-lower-corner,101,150,3
../data/raw-img/cavallo/splitted_images,file-0-right-upper-corner,100,150,3
../data/raw-img/cavallo/splitted_images,file-0-right-lower-corner,101,150,3
../data/raw-img/cavallo/splitted_images,file-1-left-upper-corner,101,150,3
../data/raw-img/cavallo/splitted_images,file-1-left-lower-corner,101,150,3
../data/raw-img/cavallo/splitted_images,file-1-right-upper-corner,101,150,3
../data/raw-img/cavallo/splitted_images,file-1-right-lower-corner,101,150,3
../data/raw-img/cavallo/splitted_images,file-2-left-upper-corner,109,150,3
../data/raw-img/cavallo/splitted_images,file-2-left-lower-corner,110,150,3
../data/raw-img/cavallo/splitted_images,file-2-right-upper-corner,109,150,3
../data/raw-img/cavallo/splitted_images,file-2-right-lower-corner,110,150,3
../data/raw-img/cavallo/splitted_images,file-3-left-upper-corner,109,150,3
../data/raw-img/cavallo/splitted_images,file-3-left-lower-corner,110,150,3
../data/raw-img/cavallo/splitted_images,file-3-right-upper-corner,109,150,3
../data/raw-img/cavallo/splitted_images,file-3-right-lower-corner,110,150,3
../data/raw-img/cavallo/splitted_images,file-4-left-upper-corner,116,150,3
../data/raw-img/cavallo/splitted_images,file-4-left-lower-corner,117,150,3
../data/raw-img/cavallo/splitted_images,file-4-right-upper-corner,116,150,3
../data/raw-img/cavallo/splitted_images,file-4-right-lower-corner,117,150,3
